Threshold,TPR,FPR,Accuracy,TP,FP
0.1,0.6545,0.08583333333333333,0.751875,1309,103
0.125,0.6815,0.08583333333333333,0.76875,1363,103
0.15,0.7115,0.08666666666666667,0.7871875,1423,104
0.175,0.7395,0.08666666666666667,0.8046875,1479,104
0.19999999999999998,0.769,0.08666666666666667,0.823125,1538,104
0.22499999999999998,0.7985,0.08916666666666667,0.840625,1597,107
0.24999999999999997,0.827,0.09416666666666666,0.8565625,1654,113
0.27499999999999997,0.844,0.1025,0.8640625,1688,123
0.29999999999999993,0.869,0.10666666666666667,0.878125,1738,128
0.32499999999999996,0.89,0.11583333333333333,0.8878125,1780,139
0.35,0.9055,0.1275,0.893125,1811,153
0.3749999999999999,0.924,0.14416666666666667,0.8984375,1848,173
0.3999999999999999,0.937,0.17083333333333334,0.8965625,1874,205
0.42499999999999993,0.952,0.21166666666666667,0.890625,1904,254
0.44999999999999996,0.963,0.25,0.883125,1926,300
0.47499999999999987,0.973,0.28833333333333333,0.875,1946,346
0.4999999999999999,0.9825,0.3458333333333333,0.859375,1965,415
0.5249999999999999,0.988,0.3925,0.8453125,1976,471
0.5499999999999999,0.992,0.43333333333333335,0.8325,1984,520
0.5749999999999998,0.9945,0.4775,0.8175,1989,573
0.5999999999999999,0.997,0.5325,0.7984375,1994,639
0.6249999999999999,0.9975,0.6458333333333334,0.75625,1995,775
